,concepts,year,relevance_score,level,works_count,cited_by_count
3,n-gram,2020,8970.108,3,22921,467942
15,Speech recognition,2020,105210.43,1,2489,577051
27,Deep learning,2020,72219.01,2,153,13083
39,Word embedding,2020,12087.948,3,2173,124466
51,Recurrent neural network,2020,51233.49,3,1338,71585
63,Machine translation,2020,29509.887,2,681,14831
75,Natural language processing,2020,119515.77,1,205,11674
87,Hidden Markov model,2020,46177.316,2,54,7022
99,Information retrieval,2020,176237.69,1,122,3681
111,Bag-of-words model,2020,10376.753,2,76,2805
123,Artificial neural network,2020,157381.48,2,24,650
135,Machine learning,2020,238090.06,1,49500,680240
147,Word2vec,2020,6442.85,3,2094,52821
159,Acoustic model,2020,8523.198,3,51,1057
171,Computational linguistics,2020,15171.757,2,50869,791690
183,Probability distribution,2020,30863.594,2,6089,123134
195,Artificial intelligence,2020,509555.97,1,831,16790
207,tf–idf,2020,9465.727,3,105,2059
219,Bigram,2020,8158.6265,3,79,1529
231,Trigram,2020,9627.066,2,40,1070
243,Perplexity,2020,8798.737,3,17,263
255,Word error rate,2020,27770.688,2,13,138
267,Lexical analysis,2020,6512.3174,2,12,101
279,Document clustering,2020,9506.468,3,114,2583
291,Typing,2020,22903.598,2,89,2441
303,Time delay neural network,2020,24803.207,3,24146,1175777
