,concepts,year,relevance_score,level,works_count,cited_by_count
2,n-gram,2021,8970.108,3,22791,518752
14,Speech recognition,2021,105210.43,1,1104,772167
26,Deep learning,2021,72219.01,2,46,14108
38,Word embedding,2021,12087.948,3,1907,140956
50,Recurrent neural network,2021,51233.49,3,1561,72873
62,Machine translation,2021,29509.887,2,826,13399
74,Natural language processing,2021,119515.77,1,271,9617
86,Hidden Markov model,2021,46177.316,2,83,5633
98,Information retrieval,2021,176237.69,1,158,3147
110,Bag-of-words model,2021,10376.753,2,105,2350
122,Artificial neural network,2021,157381.48,2,42,545
134,Machine learning,2021,238090.06,1,37018,747238
146,Word2vec,2021,6442.85,3,2212,53773
158,Acoustic model,2021,8523.198,3,67,1047
170,Computational linguistics,2021,15171.757,2,50968,857734
182,Probability distribution,2021,30863.594,2,6302,141530
194,Artificial intelligence,2021,509555.97,1,833,18461
206,tf–idf,2021,9465.727,3,159,2105
218,Bigram,2021,8158.6265,3,119,1558
230,Trigram,2021,9627.066,2,62,1052
242,Perplexity,2021,8798.737,3,20,192
254,Word error rate,2021,27770.688,2,24,142
266,Lexical analysis,2021,6512.3174,2,12,89
278,Document clustering,2021,9506.468,3,134,2582
290,Typing,2021,22903.598,2,112,2216
302,Time delay neural network,2021,24803.207,3,24152,1432440
