State	Continent	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Bahrain	Asia	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	1	1	1	1	1	3
Burundi	Africa	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	1	1	2	2	2	3	3	6	6	6
Brunei	Asia	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	3	3	3	3
Brazil	South America	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	5	6	6	8	18	25	29	35	44	55	73	83	94	108	123	140	205	265	364	374
Bahamas	North America	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	1
Belarus	Europe	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
Canada	North America	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	1	1	2	4	4	5	5	6	8	13	13	14	19	21	21	21	24	27	40	47	62	64	65	76	79	79	112	128	145	166	185	198	230	268	284	314	352	397	422	487	548	599	656	815	963	1065	1091
Switzerland	Europe	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	1	8	9	12	27	35	52	59	79	96	105	124	136	143	161	172	183	204	219	270	307	432	479	506
Chile	South America	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	1	2	2	2	2	4	4	4	4	5	10	11	15	15	16	16	19	19	20	20	30	52	56	56
Cameroon	Africa	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	3	3	3
